Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"NES/Famicom","Games","Owned","Duck Hunt","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems Co., Ltd., Nintendo R&D1","First-person shooter","Mar 1, 2020","Loose","10.16","119.75","2500.00","10.16","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Duck Hunt","United States of America","Official","Nintendo of America, Inc.","Intelligent Systems Co., Ltd., Nintendo R&D1","First-person shooter","May 14, 2021","CIB","10.16","119.75","2500.00","119.75","57.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Elevator Action","United States of America","Official","Taito Corporation","Taito Corporation","Action","Mar 1, 2020","Boxed","14.99","83.00","332.00","49.35","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Excitebike","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D1","Racing","Mar 1, 2020","Loose+","10.90","59.94","670.02","15.89","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Excitebike [5 Screw]","United States of America","Official","Nintendo","Nintendo R&D1","Racing","Jul 15, 2025","CIB","15.16","110.76","443.00","110.76","-1.0","1","1","1","","","0"
"NES/Famicom","Games","Owned","Faxanadu","United States of America","Official","Hudson Entertainment, Inc.","Falcom","Action, RPG","Jan 20, 2022","Loose","11.66","54.70","324.62","11.66","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Fester's Quest","United States of America","Official","SUNSOFT","Sunsoft","Adventure","Jan 20, 2022","Loose","8.91","54.50","251.92","8.91","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Friday the 13th","United States of America","Official","LJN","Pack-In-Video Co., Ltd","Action, Adventure","May 18, 2020","CIB","16.00","109.22","378.75","109.22","60.00","?","?","?","","","0"
"NES/Famicom","Game Accessories","Owned","Game Genie","United States of America","Official","Camerica","Missing Field","Missing Field","Jan 21, 2022","Loose","20.98","54.59","80.40","20.98","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Gauntlet [Gray Cart]","United States of America","Official","Tengen","Tengen","Action, Adventure","Mar 13, 2023","Loose","15.85","47.99","268.70","15.85","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Gauntlet","United States of America","Unlicensed","Tengen","Tengen","Action, Adventure","Jun 15, 2020","CIB","12.54","46.90","310.73","46.90","25.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Ghosts 'n Goblins","United States of America","Official","Capcom USA, Inc.","Micronics","Action, Platformer, Horror","Sep 7, 2020","Loose","18.18","82.60","3072.50","18.18","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Ghosts 'n Goblins","United States of America","Official","Capcom USA, Inc.","Micronics","Action, Platformer, Horror","Dec 25, 2025","CIB","18.18","82.60","3072.50","82.60","-1.0","1","1","1","","","0"
